State,Capital,Flower,Population
Alabama,Montgomery,Camellia,"4887680"
Alaska,Juneau,Willow Ptarmigan,"735139"
Arizona,Phoenix,Saguaro Cactus Blossom,"7158020"
Arkansas,Little Rock,Apple Blossom,"3009730"
California,Sacramento,California Poppy,"39461600"
Colorado,Denver,White and Lavender Columbine,"5691290"
Connecticut,Hartford,Mountain Laurel,"3571520"
Delaware,Dover,Peach Blossom,"965479"
Florida,Tallahassee,Orange Blossom,"21244300"
Georgia,Atlanta,Cherokee Rose,"10511100"
Hawaii,Honolulu,Hibiscus,"1420590"
Idaho,Boise,Syringa,"1750540"
Illinois,Springfield,Purple Violet,"12723100"
Indiana,Indianapolis,Peony,"6695500"
Iowa,Des Moines,Wild Prairie Rose,"3148620"
Kansas,Topeka,Sunflower,"2911360"
Kentucky,Frankfort,Goldenrod,"4461150"
Louisiana,Baton Rouge,Magnolia,"4659690"
Maine,Augusta,White Pine Cone and Tassel,"1339060"
Maryland,Annapolis,Black-Eyed Susan,"6035800"
Massachusetts,Boston,Mayflower,"6882640"
Michigan,Lansing,Apple Blossom,"9984070"
Minnesota,Saint Paul,Pink and White Lady Slipper,"5606250"
Mississippi,Jackson,Magnolia,"2981020"
Missouri,Jefferson City,White Hawthorn Blossom,"6121620"
Montana,Helena,Bitterroot,"1060660"
Nebraska,Lincoln,Goldenrod,"1925610"
Nevada,Carson City,Sagebrush,"3027340"
New Hampshire,Concord,Purple Lilac,"1353460"
New Jersey,Trenton,Violet,"8886020"
New Mexico,Santa Fe,Yucca Flower,"2092740"
New York,Albany,Rose,"19530400"
North Carolina,Raleigh,Dogwood,"10381600"
Ohio,Chillicothe,Scarlet Carnation,"758080"
Oklahoma,Oklahoma City,Mistletoe,"11676300"
Oregon,Salem,Oregon Grape,"3940240"
Pennsylvania,Harrisburg,Mountain Laurel,"4181890"
Rhode Island,Providence,Violet,"12800900"
South Carolina,Columbia,Yellow Jessamine,"1058290"
North Dakota,Bismarck,Wild Prairie Rose,"5084160"
South Dakota,Pierre,Pasque Flower,"878698"
Tennessee,Nashville,Iris,"6771630"
Texas,Austin,Bluebonnet,"28628700"
Utah,Salt Lake City,Sego Lily,"3153550"
Vermont,Montpelier,Red Clover,"624358"
Virginia,Richmond,Dogwood,"8501290"
Washington,Olympia,Pink Rhododendron,"7523870"
West Virginia,Charleston,Rhododendron,"1804290"
Wisconsin,Madison,Wood Violet,"5807410"
Wyoming,Cheyenne,Indian Paintbrush,"577601"